set_num,name,year,pieces,rrp_eur,mv_new_eur,mv_used_eur,weight_g
10300,Back to the Future Time Machine,2022,1872,199.99,215,150,1600
75192,Millennium Falcon UCS,2017,7541,849.99,940,650,12000
21318,Tree House,2019,3036,199.99,265,170,3000
10281,Bonsai Tree,2021,878,49.99,52,32,900
42115,Lamborghini Sian FKP 37,2020,3696,379.99,360,240,4500
71043,Hogwarts Castle,2018,6020,469.99,470,360,8000
10276,Colosseum,2020,9036,549.99,560,430,9000
10307,Eiffel Tower,2022,10001,629.99,650,520,13000
21330,Home Alone,2021,3955,269.99,330,210,3600
76423,Hogwarts Express Collectors Edition,2023,5129,499.99,470,330,7200
